label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
background,1070,902,52,81,10.jpg,1920,1080
background,590,908,55,58,10.jpg,1920,1080
background,91,1015,52,62,10.jpg,1920,1080
background,26,882,19,60,10.jpg,1920,1080
background,1310,879,65,42,10.jpg,1920,1080
background,1206,811,68,32,10.jpg,1920,1080
background,1007,601,39,34,10.jpg,1920,1080
background,1138,615,46,29,10.jpg,1920,1080
background,732,582,46,22,10.jpg,1920,1080
background,868,740,24,32,10.jpg,1920,1080
background,631,770,19,26,10.jpg,1920,1080
background,1131,757,23,33,10.jpg,1920,1080
background,1253,752,19,41,10.jpg,1920,1080
background,588,638,47,19,10.jpg,1920,1080
background,600,567,41,17,10.jpg,1920,1080
background,569,557,28,15,10.jpg,1920,1080
background,980,740,12,30,10.jpg,1920,1080
background,1322,733,21,24,10.jpg,1920,1080
background,1357,675,21,27,10.jpg,1920,1080
background,1434,591,50,21,10.jpg,1920,1080
background,1411,626,46,19,10.jpg,1920,1080
background,1631,1027,92,42,10.jpg,1920,1080
background,1870,811,46,70,10.jpg,1920,1080
background,1518,697,85,31,10.jpg,1920,1080
background,1651,662,24,83,10.jpg,1920,1080
background,1739,683,31,57,10.jpg,1920,1080
background,1811,624,28,42,10.jpg,1920,1080
background,948,815,22,59,10.jpg,1920,1080
background,911,990,42,20,10.jpg,1920,1080
background,733,1008,22,48,10.jpg,1920,1080
background,444,942,26,53,10.jpg,1920,1080
background,208,916,31,37,10.jpg,1920,1080
background,151,837,31,31,10.jpg,1920,1080
background,238,892,33,37,10.jpg,1920,1080
background,76,802,70,22,10.jpg,1920,1080
background,190,644,53,35,10.jpg,1920,1080
background,52,679,83,31,10.jpg,1920,1080
background,477,828,53,26,10.jpg,1920,1080
background,742,872,53,39,10.jpg,1920,1080
background,1263,596,22,57,10.jpg,1920,1080
background,1288,622,74,22,10.jpg,1920,1080
background,1237,699,22,50,10.jpg,1920,1080
background,1583,859,15,44,10.jpg,1920,1080
background,1857,605,20,55,10.jpg,1920,1080
background,1719,596,53,31,10.jpg,1920,1080
background,1185,898,44,57,10.jpg,1920,1080
background,1412,789,28,55,10.jpg,1920,1080
background,847,955,72,39,10.jpg,1920,1080
background,834,830,35,39,10.jpg,1920,1080
background,703,800,31,64,10.jpg,1920,1080
background,359,859,28,46,10.jpg,1920,1080
background,291,765,28,50,10.jpg,1920,1080
background,606,659,83,20,10.jpg,1920,1080
background,845,631,44,26,10.jpg,1920,1080
background,768,644,50,26,10.jpg,1920,1080
background,1590,581,44,31,10.jpg,1920,1080
background,1518,815,42,26,10.jpg,1920,1080
background,1412,946,48,31,10.jpg,1920,1080
background,1303,791,39,28,10.jpg,1920,1080
background,1022,837,79,31,10.jpg,1920,1080
background,1031,719,20,53,10.jpg,1920,1080
background,777,727,24,50,10.jpg,1920,1080
background,573,832,33,42,10.jpg,1920,1080
background,521,789,35,31,10.jpg,1920,1080
background,492,920,31,61,10.jpg,1920,1080
background,556,1006,44,20,10.jpg,1920,1080
background,707,942,74,31,10.jpg,1920,1080
background,431,758,35,26,10.jpg,1920,1080
background,427,815,28,48,10.jpg,1920,1080
background,1445,716,20,28,10.jpg,1920,1080
background,1504,964,26,44,10.jpg,1920,1080
background,1829,953,37,37,10.jpg,1920,1080
background,1761,1052,42,28,10.jpg,1920,1080
background,1881,1023,26,57,10.jpg,1920,1080
background,1864,701,31,44,10.jpg,1920,1080
background,896,568,43,18,10.jpg,1920,1080
background,865,527,23,20,10.jpg,1920,1080
background,811,530,24,20,10.jpg,1920,1080
background,990,526,26,15,10.jpg,1920,1080
background,984,644,56,24,10.jpg,1920,1080
background,1058,644,48,21,10.jpg,1920,1080
background,1047,594,32,18,10.jpg,1920,1080
background,409,550,45,84,1.jpg,1920,1080
background,512,689,29,78,1.jpg,1920,1080
background,681,748,19,52,1.jpg,1920,1080
background,947,910,88,45,1.jpg,1920,1080
background,944,754,42,78,1.jpg,1920,1080
background,1164,637,26,78,1.jpg,1920,1080
background,1362,657,32,45,1.jpg,1920,1080
background,1446,582,19,101,1.jpg,1920,1080
background,1518,663,71,32,1.jpg,1920,1080
background,1245,540,32,97,1.jpg,1920,1080
background,1226,864,71,26,1.jpg,1920,1080
background,1408,890,65,39,1.jpg,1920,1080
background,1862,757,32,94,1.jpg,1920,1080
background,1891,894,29,65,1.jpg,1920,1080
background,1842,1043,78,37,1.jpg,1920,1080
background,1557,1072,97,8,1.jpg,1920,1080
background,1628,929,39,71,1.jpg,1920,1080
background,1365,939,32,49,1.jpg,1920,1080
background,1155,952,26,84,1.jpg,1920,1080
background,256,981,52,23,1.jpg,1920,1080
background,26,881,104,49,1.jpg,1920,1080
background,159,709,107,52,1.jpg,1920,1080
background,182,582,91,55,1.jpg,1920,1080
background,850,559,110,62,1.jpg,1920,1080
background,1038,566,71,52,1.jpg,1920,1080
background,1434,498,29,55,1.jpg,1920,1080
background,1771,478,62,45,1.jpg,1920,1080
background,1745,391,39,65,1.jpg,1920,1080
background,1596,439,29,62,1.jpg,1920,1080
background,1398,443,42,52,1.jpg,1920,1080
background,798,829,19,62,1.jpg,1920,1080
background,798,692,81,32,1.jpg,1920,1080
background,493,1010,26,62,1.jpg,1920,1080
background,415,728,36,71,1.jpg,1920,1080
background,1109,530,58,23,1.jpg,1920,1080
background,636,553,78,29,1.jpg,1920,1080
background,1284,475,78,39,1.jpg,1920,1080
background,636,650,75,23,1.jpg,1920,1080
background,376,702,97,29,1.jpg,1920,1080
background,324,783,32,62,1.jpg,1920,1080
background,561,903,42,71,1.jpg,1920,1080
background,736,923,29,84,1.jpg,1920,1080
background,1187,793,49,23,1.jpg,1920,1080
background,1505,796,36,49,1.jpg,1920,1080
background,1865,556,52,75,1.jpg,1920,1080
background,1771,598,39,62,1.jpg,1920,1080
background,1865,443,23,58,1.jpg,1920,1080
background,1618,543,32,36,1.jpg,1920,1080
background,1654,624,19,58,1.jpg,1920,1080
background,1680,731,23,42,1.jpg,1920,1080
background,1748,855,32,49,1.jpg,1920,1080
background,1323,799,42,65,1.jpg,1920,1080
background,947,670,32,29,1.jpg,1920,1080
background,775,663,42,19,1.jpg,1920,1080
background,746,748,16,71,1.jpg,1920,1080
background,863,1010,88,29,1.jpg,1920,1080
background,1031,1046,81,34,1.jpg,1920,1080
background,68,605,68,26,1.jpg,1920,1080
background,512,556,68,32,1.jpg,1920,1080
background,104,1017,55,62,1.jpg,1920,1080
background,269,871,32,68,1.jpg,1920,1080
background,1528,472,19,55,1.jpg,1920,1080
background,1706,238,36,88,1.jpg,1920,1080
background,1511,306,42,78,1.jpg,1920,1080
background,1352,365,42,55,1.jpg,1920,1080
background,759,294,39,65,1.jpg,1920,1080
background,911,365,45,71,1.jpg,1920,1080
background,957,216,52,52,1.jpg,1920,1080
background,639,199,117,36,1.jpg,1920,1080
background,130,141,81,58,1.jpg,1920,1080
background,26,355,75,26,1.jpg,1920,1080
background,175,417,75,39,1.jpg,1920,1080
background,409,371,55,26,1.jpg,1920,1080
background,360,495,52,42,1.jpg,1920,1080
background,636,352,42,45,1.jpg,1920,1080
background,1206,332,26,71,1.jpg,1920,1080
background,1395,73,42,65,1.jpg,1920,1080
background,1219,60,42,81,1.jpg,1920,1080
background,1090,190,58,39,1.jpg,1920,1080
background,1352,229,81,62,1.jpg,1920,1080
background,1057,679,39,58,1.jpg,1920,1080
background,1615,290,39,91,1.jpg,1920,1080
background,1035,478,55,42,1.jpg,1920,1080
background,1161,443,32,68,1.jpg,1920,1080
background,1064,336,29,71,1.jpg,1920,1080
background,1119,300,58,19,1.jpg,1920,1080
background,1566,183,55,78,1.jpg,1920,1080
background,1476,144,39,81,1.jpg,1920,1080
background,1823,164,39,45,1.jpg,1920,1080
background,1722,73,45,78,1.jpg,1920,1080
background,834,229,29,68,1.jpg,1920,1080
background,493,281,49,52,1.jpg,1920,1080
background,564,274,32,65,1.jpg,1920,1080
background,344,290,71,29,1.jpg,1920,1080
background,175,294,78,32,1.jpg,1920,1080
background,227,264,88,36,1.jpg,1920,1080
background,480,216,84,42,1.jpg,1920,1080
background,435,949,26,49,1.jpg,1920,1080
background,1664,832,36,55,1.jpg,1920,1080
